symbol,company_name,as_of_date,current_stage,price_bars_count,financial_actuals_count,disclosures_count,research_reports_count,news_items_count,consensus_count,consensus_revisions_count
298040,효성중공업,2023-06-01,2,2,2,1,1,0,2,1
298040,효성중공업,2023-07-01,2,2,2,1,1,0,2,1
267260,HD현대일렉트릭,2023-08-01,2,2,2,1,1,0,2,1
298040,효성중공업,2023-08-01,2,2,2,1,1,0,2,1
247540,에코프로비엠,2023-08-01,1,2,0,1,0,0,0,0
267260,HD현대일렉트릭,2023-09-01,2,2,2,1,1,0,2,1
298040,효성중공업,2023-09-01,2,2,2,1,1,0,2,1
247540,에코프로비엠,2023-09-01,1,2,0,1,0,0,0,0
267260,HD현대일렉트릭,2023-10-01,2,2,2,1,1,0,2,1
298040,효성중공업,2023-10-01,2,2,2,1,1,0,2,1
247540,에코프로비엠,2023-10-01,1,2,0,1,0,0,0,0
267260,HD현대일렉트릭,2023-11-01,2,2,2,1,1,0,2,1
298040,효성중공업,2023-11-01,2,2,2,1,1,0,2,1
247540,에코프로비엠,2023-11-01,1,2,0,1,0,0,0,0
103590,일진전기,2023-12-01,2,2,2,1,1,0,2,1
267260,HD현대일렉트릭,2023-12-01,2,2,2,1,1,0,2,1
298040,효성중공업,2023-12-01,2,2,2,1,1,0,2,1
247540,에코프로비엠,2023-12-01,1,2,0,1,0,0,0,0
103590,일진전기,2024-01-01,2,2,2,1,1,0,2,1
267260,HD현대일렉트릭,2024-01-01,2,2,2,1,1,0,2,1
298040,효성중공업,2024-01-01,2,2,2,1,1,0,2,1
247540,에코프로비엠,2024-01-01,1,2,0,1,0,0,0,0
267260,HD현대일렉트릭,2024-02-01,2,2,2,1,1,0,2,1
298040,효성중공업,2024-02-01,2,2,2,1,1,0,2,1
247540,에코프로비엠,2024-02-01,1,2,0,1,0,0,0,0
103590,일진전기,2024-02-01,2,2,2,1,1,0,2,1
267260,HD현대일렉트릭,2024-03-01,2,2,2,1,1,0,2,1
298040,효성중공업,2024-03-01,2,2,2,1,1,0,2,1
247540,에코프로비엠,2024-03-01,1,2,0,1,0,0,0,0
103590,일진전기,2024-03-01,2,2,2,1,1,0,2,1
267260,HD현대일렉트릭,2024-04-01,2,2,2,1,1,0,2,1
298040,효성중공업,2024-04-01,2,2,2,1,1,0,2,1
000660,SK하이닉스,2024-04-01,2,2,1,1,1,0,2,1
005930,삼성전자,2024-04-01,2,2,1,1,1,0,2,1
247540,에코프로비엠,2024-04-01,1,2,0,1,0,0,0,0
103590,일진전기,2024-04-01,2,2,2,1,1,0,2,1
000660,SK하이닉스,2024-05-01,2,2,2,1,1,0,2,1
267260,HD현대일렉트릭,2024-05-01,2,2,2,1,1,0,2,1
247540,에코프로비엠,2024-05-01,1,2,0,1,0,0,0,0
103590,일진전기,2024-05-01,2,2,2,1,1,0,2,1
003230,삼양식품,2024-06-01,1,2,2,1,1,0,2,1
000660,SK하이닉스,2024-06-01,2,2,2,1,1,0,2,1
267260,HD현대일렉트릭,2024-06-01,2,2,2,1,1,0,2,1
247540,에코프로비엠,2024-06-01,1,2,0,1,0,0,0,0
257720,실리콘투,2024-06-01,1,2,0,0,1,0,2,1
103590,일진전기,2024-06-01,2,2,2,1,1,0,2,1
000660,SK하이닉스,2024-07-01,2,2,2,1,1,0,2,1
003230,삼양식품,2024-07-01,1,2,2,1,1,0,2,1
257720,실리콘투,2024-07-01,1,2,0,0,1,0,2,1
103590,일진전기,2024-07-01,2,2,2,1,1,0,2,1
012450,한화에어로스페이스,2024-08-01,1,2,0,1,1,0,2,1
000660,SK하이닉스,2024-08-01,2,2,2,1,1,0,2,1
003230,삼양식품,2024-08-01,1,2,2,1,1,0,2,1
103590,일진전기,2024-08-01,2,2,2,1,1,0,2,1
257720,실리콘투,2024-08-01,1,2,0,0,1,0,2,1
012450,한화에어로스페이스,2024-09-01,1,2,0,1,1,0,2,1
000660,SK하이닉스,2024-09-01,2,2,2,1,1,0,2,1
003230,삼양식품,2024-09-01,1,2,2,1,1,0,2,1
103590,일진전기,2024-09-01,2,2,2,1,1,0,2,1
257720,실리콘투,2024-09-01,1,2,0,0,1,0,2,1
000660,SK하이닉스,2024-10-01,2,2,2,1,1,0,2,1
003230,삼양식품,2024-10-01,1,2,2,1,1,0,2,1
103590,일진전기,2024-10-01,2,2,2,1,1,0,2,1
257720,실리콘투,2024-10-01,1,2,0,0,1,0,2,1
012450,한화에어로스페이스,2024-10-01,1,2,0,1,1,0,2,1
000660,SK하이닉스,2024-11-01,2,2,2,1,1,0,2,1
003230,삼양식품,2024-11-01,1,2,2,1,1,0,2,1
257720,실리콘투,2024-11-01,1,2,0,0,1,0,2,1
012450,한화에어로스페이스,2024-11-01,1,2,0,1,1,0,2,1
000660,SK하이닉스,2024-12-01,2,2,2,1,1,0,2,1
003230,삼양식품,2024-12-01,1,2,2,1,1,0,2,1
257720,실리콘투,2024-12-01,1,2,0,0,1,0,2,1
012450,한화에어로스페이스,2024-12-01,1,2,0,1,1,0,2,1
000660,SK하이닉스,2025-01-01,2,2,2,1,1,0,2,1
003230,삼양식품,2025-01-01,1,2,2,1,1,0,2,1
257720,실리콘투,2025-01-01,1,2,0,0,1,0,2,1
012450,한화에어로스페이스,2025-01-01,1,2,0,1,1,0,2,1
000660,SK하이닉스,2025-02-01,2,2,2,1,1,0,2,1
003230,삼양식품,2025-02-01,1,2,2,1,1,0,2,1
257720,실리콘투,2025-02-01,1,2,0,0,1,0,2,1
062040,산일전기,2025-03-01,1,2,0,1,1,0,2,1
001440,대한전선-like,2026-02-01,1,2,0,1,0,0,0,0
