symbol,company_name,as_of_date,layer,current_stage,current_score,eps_fcf_explosion,earnings_visibility,bottleneck_pricing,market_mispricing,valuation_rerating,capital_allocation,information_confidence,risk_penalty,revision_score,price_stage_score,contract_quality,backlog_rpo_visibility,capa_constraint,asp_pricing_power,structural_shortage,one_off_shortage_risk,red_team_risk,hard_audit_count,explanation
298040,효성중공업,2023-06-01,deep_research,1,62.1937,20.0,10.3,4.948,12.969,13.4767,0.0,4.5,4.0,100.0,18.3007,0.0,70.0,23.0,20.0,32.3,0.0,low,0,Stage 2 gate failed: failed_stage2_total_score.
298040,효성중공업,2023-07-01,event_search,1,62.1937,20.0,10.3,4.948,12.969,13.4767,0.0,4.5,4.0,100.0,18.3007,0.0,70.0,23.0,20.0,32.3,0.0,low,0,Stage 2 gate failed: failed_stage2_total_score.
267260,HD현대일렉트릭,2023-08-01,deep_research,2,65.5219,20.0,14.555,5.685,10.3425,9.0394,1.4,4.5,0.0,100.0,26.1261,41.5,85.0,28.0,20.0,38.75,0.0,low,0,"Stage 2 is possible, but Stage 3-Green gate failed: failed_stage3_total_score, failed_stage3_visibility, failed_stage3_bottleneck, failed_stage3_valuation, failed_stage3_contract_quality."
298040,효성중공업,2023-08-01,event_search,1,62.1937,20.0,10.3,4.948,12.969,13.4767,0.0,4.5,4.0,100.0,18.3007,0.0,70.0,23.0,20.0,32.3,0.0,low,0,Stage 2 gate failed: failed_stage2_total_score.
247540,에코프로비엠,2023-08-01,event_search,1,0.0,0.0,0.0,1.2,0.6,0.45,0.0,1.5,4.0,0.0,36.5079,0.0,0.0,0.0,0.0,20.0,0.0,low,0,"Stage 2 gate failed: failed_stage2_total_score, failed_stage2_eps_fcf, failed_stage2_valuation, failed_stage2_information_confidence."
267260,HD현대일렉트릭,2023-09-01,deep_research,2,65.5219,20.0,14.555,5.685,10.3425,9.0394,1.4,4.5,0.0,100.0,26.1261,41.5,85.0,28.0,20.0,38.75,0.0,low,0,"Stage 2 is possible, but Stage 3-Green gate failed: failed_stage3_total_score, failed_stage3_visibility, failed_stage3_bottleneck, failed_stage3_valuation, failed_stage3_contract_quality."
298040,효성중공업,2023-09-01,event_search,1,62.1937,20.0,10.3,4.948,12.969,13.4767,0.0,4.5,4.0,100.0,18.3007,0.0,70.0,23.0,20.0,32.3,0.0,low,0,Stage 2 gate failed: failed_stage2_total_score.
247540,에코프로비엠,2023-09-01,event_search,1,0.0,0.0,0.0,1.2,0.6,0.45,0.0,1.5,4.0,0.0,36.5079,0.0,0.0,0.0,0.0,20.0,0.0,low,0,"Stage 2 gate failed: failed_stage2_total_score, failed_stage2_eps_fcf, failed_stage2_valuation, failed_stage2_information_confidence."
267260,HD현대일렉트릭,2023-10-01,event_search,2,65.5219,20.0,14.555,5.685,10.3425,9.0394,1.4,4.5,0.0,100.0,26.1261,41.5,85.0,28.0,20.0,38.75,0.0,low,0,"Stage 2 is possible, but Stage 3-Green gate failed: failed_stage3_total_score, failed_stage3_visibility, failed_stage3_bottleneck, failed_stage3_valuation, failed_stage3_contract_quality."
298040,효성중공업,2023-10-01,event_search,1,62.1937,20.0,10.3,4.948,12.969,13.4767,0.0,4.5,4.0,100.0,18.3007,0.0,70.0,23.0,20.0,32.3,0.0,low,0,Stage 2 gate failed: failed_stage2_total_score.
