symbol,company_name,as_of_date,current_stage,failed_stage2_total_score,failed_stage2_eps_fcf,failed_stage2_valuation,failed_stage2_information_confidence,failed_stage3_total_score,failed_stage3_eps_fcf,failed_stage3_visibility,failed_stage3_bottleneck,failed_stage3_market_mispricing,failed_stage3_valuation,failed_stage3_revision,failed_stage3_contract_quality,failed_stage3_red_team
298040,효성중공업,2023-06-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
298040,효성중공업,2023-07-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
267260,HD현대일렉트릭,2023-08-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
298040,효성중공업,2023-08-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
247540,에코프로비엠,2023-08-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
267260,HD현대일렉트릭,2023-09-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
298040,효성중공업,2023-09-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
247540,에코프로비엠,2023-09-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
267260,HD현대일렉트릭,2023-10-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
298040,효성중공업,2023-10-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
247540,에코프로비엠,2023-10-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
267260,HD현대일렉트릭,2023-11-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
298040,효성중공업,2023-11-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
247540,에코프로비엠,2023-11-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
103590,일진전기,2023-12-01,2,False,False,False,False,True,False,True,True,False,False,False,True,False
267260,HD현대일렉트릭,2023-12-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
298040,효성중공업,2023-12-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
247540,에코프로비엠,2023-12-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
103590,일진전기,2024-01-01,2,False,False,False,False,True,False,True,True,False,False,False,True,False
267260,HD현대일렉트릭,2024-01-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
298040,효성중공업,2024-01-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
247540,에코프로비엠,2024-01-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
267260,HD현대일렉트릭,2024-02-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
298040,효성중공업,2024-02-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
247540,에코프로비엠,2024-02-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
103590,일진전기,2024-02-01,2,False,False,False,False,True,False,True,True,False,False,False,True,False
267260,HD현대일렉트릭,2024-03-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
298040,효성중공업,2024-03-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
247540,에코프로비엠,2024-03-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
103590,일진전기,2024-03-01,2,False,False,False,False,True,False,True,True,False,False,False,True,False
267260,HD현대일렉트릭,2024-04-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
298040,효성중공업,2024-04-01,1,True,False,False,False,True,False,True,True,False,False,False,True,False
000660,SK하이닉스,2024-04-01,1,True,False,True,True,True,True,True,True,True,True,True,True,False
005930,삼성전자,2024-04-01,1,True,False,True,True,True,True,True,True,True,True,True,True,False
247540,에코프로비엠,2024-04-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
103590,일진전기,2024-04-01,2,False,False,False,False,True,False,True,True,False,False,False,True,False
000660,SK하이닉스,2024-05-01,1,True,False,True,True,True,True,True,True,True,True,True,True,False
267260,HD현대일렉트릭,2024-05-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
247540,에코프로비엠,2024-05-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
103590,일진전기,2024-05-01,2,False,False,False,False,True,False,True,True,False,False,False,True,False
003230,삼양식품,2024-06-01,1,True,False,False,False,True,False,True,True,True,True,False,True,False
000660,SK하이닉스,2024-06-01,1,True,False,True,True,True,True,True,True,True,True,True,True,False
267260,HD현대일렉트릭,2024-06-01,2,False,False,False,False,True,False,True,True,False,True,False,True,False
247540,에코프로비엠,2024-06-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
257720,실리콘투,2024-06-01,0,True,True,True,True,True,True,True,True,True,True,True,True,False
103590,일진전기,2024-06-01,2,False,False,False,False,True,False,True,True,False,False,False,True,False
000660,SK하이닉스,2024-07-01,1,True,False,True,True,True,True,True,True,True,True,True,True,False
003230,삼양식품,2024-07-01,1,True,False,False,False,True,False,True,True,True,True,False,True,False
257720,실리콘투,2024-07-01,0,True,True,True,True,True,True,True,True,True,True,True,True,False
103590,일진전기,2024-07-01,2,False,False,False,False,True,False,True,True,False,False,False,True,False
062040,산일전기,2025-03-01,1,True,False,False,False,True,False,True,True,True,True,False,True,False
012450,한화에어로스페이스,2024-08-01,1,True,True,False,False,True,True,True,True,True,True,False,True,False
001440,대한전선-like,2026-02-01,1,True,True,True,True,True,True,True,True,True,True,True,True,False
