archetype,positive_count,counterexample_count,total_count,status,positive_case_ids,counterexample_case_ids
CONTRACT_BACKLOG_INDUSTRIAL,3,1,4,insufficient_case_coverage,hd_hyundai_electric_2023|hyosung_heavy_2023|iljin_electric_2023_2024,daehan_cable_like_2026
DEFENSE_GOVERNMENT_BACKLOG,1,0,1,insufficient_case_coverage,hanwha_aerospace_2024,
SHIPBUILDING_OFFSHORE_BACKLOG,0,0,0,insufficient_case_coverage,,
EXPORT_RECURRING_CONSUMER,1,0,1,insufficient_case_coverage,samyang_foods_2024,
K_BEAUTY_EXPORT_DISTRIBUTION,1,0,1,insufficient_case_coverage,silicontwo_2024,
MEMORY_HBM_CAPACITY,3,0,3,insufficient_case_coverage,samsung_memory_2024|sk_hynix_memory_2024|nvidia_2023,
SEMI_EQUIPMENT_CAPEX,0,0,0,insufficient_case_coverage,,
BATTERY_MATERIALS_CAPEX_OVERHEAT,0,1,1,insufficient_case_coverage,,ecopro_bm_2023
COMMODITY_SPREAD,0,0,0,insufficient_case_coverage,,
SHIPPING_FREIGHT_CYCLE,1,0,1,insufficient_case_coverage,hmm_2021,
AUTO_MOBILITY_COMPONENTS,0,0,0,insufficient_case_coverage,,
ROBOTICS_FACTORY_AUTOMATION,0,0,0,insufficient_case_coverage,,
PLATFORM_SOFTWARE_INTERNET,0,0,0,insufficient_case_coverage,,
GAME_CONTENT_IP,0,0,0,insufficient_case_coverage,,
FINANCIAL_SPREAD_BALANCE_SHEET,0,0,0,insufficient_case_coverage,,
BIOTECH_REGULATORY,0,0,0,insufficient_case_coverage,,
MEDICAL_DEVICE_HEALTHCARE_EXPORT,0,0,0,insufficient_case_coverage,,
RETAIL_DOMESTIC_CONSUMER,0,0,0,insufficient_case_coverage,,
CONSTRUCTION_REAL_ESTATE_CREDIT,0,0,0,insufficient_case_coverage,,
UTILITIES_REGULATED_TARIFF,0,0,0,insufficient_case_coverage,,
HOLDING_RESTRUCTURING_GOVERNANCE,0,0,0,insufficient_case_coverage,,
TURNAROUND_COST_RESTRUCTURING,0,0,0,insufficient_case_coverage,,
ONE_OFF_EVENT_DEMAND,0,2,2,insufficient_case_coverage,,seegene_2020_red|zoom_2020_red
THEME_VALUATION_OVERHEAT,0,1,1,insufficient_case_coverage,,smci_2024_4b_4c
GENERIC_UNCLASSIFIED,0,0,0,insufficient_case_coverage,,
